,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,item,condition,sentence,target,alternative,(lstm 0 at word 1),(lstm 0 at word 2),(lstm 0 at word 3),(lstm 0 at word 4),(lstm 0 at word 5),(lstm 0 at word 6),(lstm 0 at word 7),(lstm 0 at word 8),(lstm 0 at word 9),(lstm 0 at word 10),(lstm 1 at word 1),(lstm 1 at word 2),(lstm 1 at word 3),(lstm 1 at word 4),(lstm 1 at word 5),(lstm 1 at word 6),(lstm 1 at word 7),(lstm 1 at word 8),(lstm 1 at word 9),(lstm 1 at word 10),(lstm 2 at word 1),(lstm 2 at word 2),(lstm 2 at word 3),(lstm 2 at word 4),(lstm 2 at word 5),(lstm 2 at word 6),(lstm 2 at word 7),(lstm 2 at word 8),(lstm 2 at word 9),(lstm 2 at word 10),(lstm 3 at word 1),(lstm 3 at word 2),(lstm 3 at word 3),(lstm 3 at word 4),(lstm 3 at word 5),(lstm 3 at word 6),(lstm 3 at word 7),(lstm 3 at word 8),(lstm 3 at word 9),(lstm 3 at word 10),(lstm 4 at word 1),(lstm 4 at word 2),(lstm 4 at word 3),(lstm 4 at word 4),(lstm 4 at word 5),(lstm 4 at word 6),(lstm 4 at word 7),(lstm 4 at word 8),(lstm 4 at word 9),(lstm 4 at word 10),rnng 0 correct (surprisal),rnng 1 correct (surprisal),rnng 2 correct (surprisal),rnng 3 correct (surprisal),rnng 4 correct (surprisal),lstm 0 (surprisal),lstm 1 (surprisal),lstm 2 (surprisal),lstm 3 (surprisal),lstm 4 (surprisal)
0,0,0,0,WagersBaseline_0_SG,SG,the new slogan unsurprisingly was designed to get attention for the company's signature designer bath products,-1,-1,5.375287055969238,8.41363525390625,5.384784698486328,3.6673965454101562,5.816509246826172,0.6815586090087891,5.626066207885742,6.562966823577881,3.0996484756469727,1.0538196563720703,5.157749652862549,8.433825492858887,4.211462020874023,3.898008346557617,5.987154006958008,1.048440933227539,5.5662736892700195,6.95191764831543,3.4261035919189453,0.9206399917602539,5.024977207183838,8.504082679748535,5.044598579406738,4.270322799682617,5.014215469360352,0.6779441833496094,5.562472343444824,6.078415870666504,3.3587703704833984,0.8529281616210938,5.223296642303467,8.021100044250488,5.092861175537109,3.605616569519043,5.788708686828613,0.8038406372070312,5.74652099609375,6.452849388122559,2.571681022644043,0.9512577056884766,5.057938098907471,8.575557708740234,5.39547061920166,3.3505935668945312,6.17789363861084,0.6728839874267578,6.185224533081055,5.318856239318848,3.2136316299438477,1.0095977783203125,137.686,124.365,136.57399999999998,129.007,128.45,91.25771379470825,90.39585828781128,90.60654306411743,92.07309579849243,88.00094079971313
1,1,1,1,WagersBaseline_0_SU,SU,the new slogan unsurprisingly were designed to get attention for the company's signature designer bath products,-1,-1,5.375287055969238,8.41363525390625,5.384784698486328,6.754478454589844,5.670734405517578,0.5692062377929688,5.473666191101074,6.551798343658447,3.202145576477051,1.092818260192871,5.157749652862549,8.433825492858887,4.211462020874023,6.920483589172363,5.711336135864258,0.9781475067138672,5.512972831726074,6.952893257141113,3.521108627319336,0.9430122375488281,5.024977207183838,8.504082679748535,5.044598579406738,7.191559791564941,5.140800476074219,0.6085281372070312,5.386713027954102,6.2259955406188965,3.422435760498047,0.9506998062133789,5.223296642303467,8.021100044250488,5.092861175537109,6.000173091888428,5.693813323974609,0.8607368469238281,5.598468780517578,6.491208553314209,2.6531801223754883,0.9766769409179688,5.057938098907471,8.575557708740234,5.39547061920166,6.089923858642578,6.094761848449707,0.5953693389892578,6.111024856567383,5.157818794250488,3.401571273803711,1.0120487213134766,143.045,127.884,135.937,136.53799999999998,132.201,93.87744092941284,93.16884756088257,93.52472400665283,94.28461217880249,90.37304449081421
2,2,2,2,WagersBaseline_0_PG,PG,the new slogans unsurprisingly were designed to get attention for the company's signature designer bath products,-1,-1,5.375287055969238,12.596162796020508,4.346606254577637,5.669804573059082,6.253974914550781,0.4300193786621094,5.507772445678711,6.392042636871338,3.3037233352661133,1.0912895202636719,5.157749652862549,12.315755844116211,4.743063926696777,5.081018447875977,5.398909568786621,0.7875728607177734,5.562766075134277,7.333348274230957,3.6351423263549805,0.9719448089599609,5.024977207183838,12.528751373291016,5.30391788482666,4.967302322387695,4.526592254638672,0.5806541442871094,5.294260025024414,6.569860458374023,3.6660585403442383,1.357264518737793,5.223296642303467,12.895575523376465,5.733960151672363,4.856423377990723,5.572322845458984,0.6897220611572266,5.426644325256348,6.230441570281982,2.769070625305176,1.0249805450439453,5.057938098907471,12.948637962341309,5.601319313049316,5.160286903381348,5.973653793334961,0.37987327575683594,5.622747421264648,4.913926124572754,3.600924491882324,0.9631137847900391,135.704,134.255,140.287,138.1,130.185,97.27622604370117,95.91637420654297,95.88060235977173,99.52726364135742,94.1007194519043
3,3,3,3,WagersBaseline_0_PU,PU,the new slogans unsurprisingly was designed to get attention for the company's signature designer bath products,-1,-1,5.375287055969238,12.596162796020508,4.346606254577637,4.140483856201172,6.394010543823242,0.49628257751464844,5.5775909423828125,6.402546405792236,3.2144432067871094,1.0356101989746094,5.157749652862549,12.315755844116211,4.743063926696777,5.41499137878418,5.671146392822266,0.823883056640625,5.614489555358887,7.236559867858887,3.537590980529785,0.9433221817016602,5.024977207183838,12.528751373291016,5.30391788482666,4.962390899658203,4.581984519958496,0.6463203430175781,5.446459770202637,6.189430236816406,3.5783586502075195,0.9844245910644531,5.223296642303467,12.895575523376465,5.733960151672363,4.60612678527832,5.726794242858887,0.6658134460449219,5.554798126220703,6.267822265625,2.668747901916504,0.9544925689697266,5.057938098907471,12.948637962341309,5.601319313049316,4.039607048034668,6.558119773864746,0.40216827392578125,5.716865539550781,4.991802215576172,3.4133691787719727,0.9475040435791016,139.565,131.779,140.219,135.422,129.85,96.11264276504517,96.43529081344604,95.50375986099243,99.41892957687378,93.63831806182861
4,4,4,4,WagersBaseline_1_SG,SG,"the wedding picture definitely was taken at a village church in the south of France, and there seemed to be herds of sheep in the background",-1,-1,9.313332557678223,8.489568710327148,13.684738159179688,3.823605537414551,5.621161460876465,4.425405502319336,2.9769420623779297,8.140774726867676,4.336191177368164,1.3315868377685547,9.537445068359375,8.744752883911133,13.565011978149414,5.397719383239746,5.718723297119141,3.333303451538086,2.767629623413086,8.905815124511719,4.687786102294922,1.8387908935546875,9.268123626708984,8.595365524291992,13.873147010803223,4.4502363204956055,5.389004707336426,4.403855323791504,2.636765480041504,7.276403427124023,4.494129180908203,1.5142993927001953,9.28145980834961,9.390186309814453,13.529769897460938,4.6022748947143555,5.686002731323242,4.009300231933594,2.6498594284057617,7.176944732666016,3.6589956283569336,1.5764656066894531,9.28303050994873,8.89449691772461,13.481099128723145,4.460728645324707,4.864081382751465,4.254670143127441,2.324535369873047,7.367642402648926,3.712556838989258,1.8174667358398438,174.959,169.453,171.127,171.773,169.016,117.96012210845947,120.39541816711426,117.55695915222168,117.49741840362549,116.99048900604248
5,5,5,5,WagersBaseline_1_SU,SU,"the wedding picture definitely were taken at a village church in the south of France, and there seemed to be herds of sheep in the background",-1,-1,9.313332557678223,8.489568710327148,13.684738159179688,8.062212944030762,5.613125801086426,4.4303131103515625,2.944979667663574,8.132957458496094,4.3726959228515625,1.4251632690429688,9.537445068359375,8.744752883911133,13.565011978149414,8.412504196166992,5.466316223144531,3.4490909576416016,2.799851417541504,8.84671401977539,4.7248687744140625,1.9547767639160156,9.268123626708984,8.595365524291992,13.873147010803223,6.092717170715332,5.043241500854492,4.476078033447266,2.7779502868652344,7.27766227722168,4.520598411560059,1.5842790603637695,9.28145980834961,9.390186309814453,13.529769897460938,6.947592258453369,5.359286308288574,4.053961753845215,2.662531852722168,7.26920223236084,3.675434112548828,1.6135005950927734,9.28303050994873,8.89449691772461,13.481099128723145,8.041454315185547,4.708453178405762,4.2656707763671875,2.3185882568359375,7.3014044761657715,3.7258758544921875,1.9573593139648438,184.14,171.666,173.075,176.453,169.128,122.04068183898926,123.48439121246338,118.95314407348633,119.7091383934021,120.16584205627441
6,6,6,6,WagersBaseline_1_PG,PG,"the wedding pictures definitely were taken at a village church in the south of France, and there seemed to be herds of sheep in the background",-1,-1,9.313332557678223,10.147407531738281,13.179643630981445,4.237078666687012,5.513092994689941,4.336668014526367,3.121088981628418,8.245948791503906,4.508403778076172,1.4324512481689453,9.537445068359375,9.00635051727295,12.900163650512695,5.862063884735107,5.277581214904785,3.285551071166992,2.916238784790039,8.75544548034668,4.606781005859375,1.9182720184326172,9.268123626708984,10.471281051635742,13.623239517211914,3.9614572525024414,5.33071231842041,4.2557830810546875,2.995062828063965,7.0993828773498535,4.422585487365723,1.7451353073120117,9.28145980834961,10.42839527130127,12.914974212646484,5.241161346435547,5.796198844909668,3.9379024505615234,2.7429122924804688,7.274236679077148,3.790297508239746,1.6509857177734375,9.28303050994873,10.341739654541016,13.389135360717773,5.666794776916504,5.03898811340332,4.242717742919922,2.489501953125,7.440606594085693,3.882570266723633,2.1395320892333984,173.65900000000005,170.77900000000002,171.61900000000003,172.90900000000005,172.005,119.64647006988525,119.88524675369263,118.3125696182251,119.0521354675293,119.06553316116333
7,7,7,7,WagersBaseline_1_PU,PU,"the wedding pictures definitely was taken at a village church in the south of France, and there seemed to be herds of sheep in the background",-1,-1,9.313332557678223,10.147407531738281,13.179643630981445,6.2822771072387695,5.367535591125488,4.353639602661133,3.126255989074707,8.221323013305664,4.437126159667969,1.302678108215332,9.537445068359375,9.00635051727295,12.900163650512695,6.628478527069092,5.445406913757324,3.236809730529785,2.8677072525024414,8.860544204711914,4.562005043029785,1.8244295120239258,9.268123626708984,10.471281051635742,13.623239517211914,6.93357515335083,5.711021423339844,4.215497016906738,2.8348636627197266,7.099015235900879,4.370185852050781,1.6841440200805664,9.28145980834961,10.42839527130127,12.914974212646484,5.835367202758789,6.01862907409668,3.941190719604492,2.754678726196289,7.183553695678711,3.799652099609375,1.6170263290405273,9.28303050994873,10.341739654541016,13.389135360717773,6.76003885269165,5.29878044128418,4.246404647827148,2.417226791381836,7.497328758239746,3.891263008117676,2.001188278198242,176.055,173.03599999999997,175.18099999999995,174.90400000000002,171.174,121.68999481201172,120.70044755935669,121.53997468948364,119.77808570861816,120.67928123474121
8,8,8,8,WagersBaseline_2_SG,SG,"the programming mistake certainly was disastrous for the small software company, although their competitors could n't have been happier",-1,-1,10.830900192260742,13.302687644958496,11.390894889831543,4.567338943481445,9.089439392089844,1.5996646881103516,0.6470117568969727,6.439415454864502,9.678868293762207,4.318528175354004,11.365503311157227,12.053445816040039,12.352986335754395,3.5791845321655273,8.635918617248535,2.252896308898926,0.7234268188476562,6.962002754211426,8.347808837890625,4.705249786376953,10.926214218139648,12.4991455078125,12.95814037322998,3.4223709106445312,9.743406295776367,1.9298858642578125,0.6392974853515625,5.9257402420043945,9.637981414794922,4.2033281326293945,10.87048625946045,11.66425895690918,12.251899719238281,3.4896621704101562,9.273843765258789,1.6956291198730469,0.5989112854003906,7.033627510070801,7.976602554321289,4.925475120544434,10.660520553588867,11.588044166564941,12.50058650970459,5.078603744506836,9.692024230957031,1.2575721740722656,0.56463623046875,6.987464904785156,8.640225410461426,3.899203300476074,141.502,147.211,137.817,143.877,141.47299999999996,118.15833234786987,114.18047046661377,116.5137996673584,112.81916522979736,116.48210573196411
9,9,9,9,WagersBaseline_2_SU,SU,"the programming mistake certainly were disastrous for the small software company, although their competitors could n't have been happier",-1,-1,10.830900192260742,13.302687644958496,11.390894889831543,5.727719306945801,9.539529800415039,1.6474113464355469,0.6271505355834961,6.422346591949463,9.714997291564941,4.311769485473633,11.365503311157227,12.053445816040039,12.352986335754395,5.726001739501953,8.63272476196289,2.6111326217651367,0.7154912948608398,6.814232349395752,8.530280113220215,4.6323347091674805,10.926214218139648,12.4991455078125,12.95814037322998,5.382896423339844,9.701007843017578,2.300189971923828,0.6403789520263672,5.915675163269043,9.720190048217773,4.056623458862305,10.87048625946045,11.66425895690918,12.251899719238281,6.555994033813477,9.40762710571289,1.698237419128418,0.5411996841430664,7.089329242706299,8.067140579223633,4.9785661697387695,10.660520553588867,11.588044166564941,12.50058650970459,7.494016647338867,9.770017623901367,1.5608863830566406,0.5773324966430664,6.9959540367126465,8.74271011352539,3.8912220001220703,145.939,152.184,145.284,147.588,146.575,119.64882564544678,116.45713663101196,118.34515237808228,115.9550142288208,119.17420959472656
